Day,Period,Course,Teacher
Monday,1,[Free],
Monday,2,[Free],
Monday,3,[Free],
Monday,4,EAL,Ezio
Monday,5,[Free],
Monday,6,[Free],
Tuesday,1,[Free],
Tuesday,2,[Free],
Tuesday,3,[Free],
Tuesday,4,[Free],
Tuesday,5,[Free],
Tuesday,6,[Free],
Wednesday,1,[Free],
Wednesday,2,[Free],
Wednesday,3,[Free],
Wednesday,4,[Free],
Wednesday,5,[Free],
Wednesday,6,[Free],
Wednesday,7,[Free],
Wednesday,8,[Free],
Thursday,1,[Free],
Thursday,2,[Free],
Thursday,3,[Free],
Thursday,4,[Free],
Thursday,5,EAL,Ezio
Thursday,6,[Free],
Friday,1,[Free],
Friday,2,[Free],
Friday,3,[Free],
Friday,4,EAL,Ezio
Friday,5,[Free],
Friday,6,[Free],
Friday,7,[Free],
